Customer_ID,Payment_Date,Payment_Amount ($)
2826,2024-03-28,56.49
3517,2025-02-17,570.66
5147,2024-10-20,765.66
2413,2025-01-30,145.14
2729,2023-11-21,236.38
5349,2024-05-11,883.67
4809,2023-09-28,29.92
2676,2023-07-14,755.2
5466,2023-07-29,479.04
4505,2025-02-09,452.3
4968,2025-01-13,17.03
4787,2024-07-27,821.2
3123,2023-09-29,366.23
6080,2024-10-06,545.36
3572,2024-12-17,680.53
4144,2024-05-09,705.6
3688,2024-09-20,956.42
6133,2023-08-31,536.03
5852,2024-12-30,405.72
5441,2023-12-03,954.17
5767,2024-12-23,645.69
4327,2025-01-28,305.17
4915,2024-02-02,135.2
6969,2023-11-02,844.13
5953,2023-05-14,368.56
2596,2023-05-30,663.87
2729,2023-05-04,476.11
3366,2024-08-31,206.94
6493,2024-02-18,605.67
2699,2023-09-20,70.08
2396,2024-09-10,419.21
6172,2023-11-26,551.15
6361,2024-12-18,441.69
4503,2023-07-30,751.19
3820,2024-01-09,829.65
2718,2023-05-08,773.53
4783,2024-10-17,48.42
6947,2023-04-02,202.19
5578,2023-12-23,541.24
2144,2023-07-15,935.47
6981,2024-09-02,836.61
5141,2024-12-09,844.11
6492,2025-01-11,310.18
4939,2023-11-23,435.15
5637,2024-07-22,476.0
5223,2023-10-16,165.8
3168,2023-07-10,40.76
4617,2024-08-08,947.43
3063,2023-04-15,248.31
4157,2024-10-04,247.55
4983,2024-02-08,92.55
5295,2025-02-16,929.22
6730,2024-03-16,583.94
3157,2024-11-07,670.37
2733,2025-02-16,912.46
6331,2024-05-27,352.16
6847,2024-11-25,625.29
2954,2024-11-23,48.41
4540,2024-10-22,194.9
5325,2024-07-20,832.93
5302,2024-09-06,769.1
3543,2024-04-08,357.14
3192,2023-08-23,383.04
4994,2024-07-13,538.22
4682,2025-01-12,10.24
3218,2023-10-25,248.83
3541,2023-08-13,216.15
5237,2024-09-24,257.98
4387,2024-11-19,807.85
5720,2023-11-20,286.88
3389,2023-04-05,199.61
3857,2023-06-12,509.22
3366,2024-12-15,866.99
2500,2024-07-16,248.94
3681,2024-09-21,87.75
2511,2024-03-03,362.84
6313,2025-03-01,750.18
3325,2023-10-29,555.18
3156,2023-12-05,818.63
3828,2024-05-11,960.0
5142,2023-05-12,794.74
5487,2024-03-21,607.77
3811,2024-09-09,498.41
4924,2025-02-20,49.67
4215,2024-03-20,984.48
6187,2023-08-15,389.65
2714,2024-03-08,160.71
5603,2023-05-03,670.04
6135,2024-04-21,291.45
5523,2024-05-05,589.92
6269,2023-10-19,590.9
6749,2023-11-30,451.27
6850,2024-05-11,837.76
3244,2024-07-05,272.32
5710,2024-11-14,454.15
3082,2024-02-17,542.32
2456,2024-01-11,666.99
6925,2024-01-29,786.13
2895,2024-12-15,400.86
3385,2024-11-14,649.59
3959,2023-08-11,159.1
5073,2023-04-06,933.32
3997,2024-12-31,389.23
6286,2024-08-31,732.23
2505,2023-10-17,30.14
3215,2024-03-25,213.14
3532,2023-11-14,492.21
5441,2024-01-29,879.47
2824,2025-03-17,531.98
2929,2024-02-12,930.57
2134,2024-12-21,488.96
4106,2023-07-28,495.54
5628,2023-12-30,128.55
6781,2024-03-07,804.63
3853,2025-03-23,254.5
6911,2024-06-08,900.62
6176,2024-06-26,911.72
4934,2023-05-09,943.88
5285,2025-03-24,525.03
6299,2024-04-27,680.32
4812,2024-02-02,780.73
3251,2024-10-06,139.7
5513,2024-10-29,604.95
3257,2023-04-13,43.95
5377,2023-09-18,502.59
5487,2023-07-02,163.29
5585,2024-11-27,191.09
3397,2024-02-22,371.4
5638,2024-09-06,438.11
5331,2024-06-07,626.94
4704,2024-06-20,83.68
2471,2024-12-05,508.65
3354,2023-06-20,190.8
4784,2024-04-07,578.24
4832,2024-12-03,641.03
2358,2024-03-01,561.14
5020,2023-10-07,740.91
2668,2023-04-20,342.25
6469,2024-06-13,767.46
3146,2024-07-05,438.44
6186,2023-04-27,489.34
5720,2023-08-23,651.62
4746,2023-11-18,28.17
2540,2024-05-28,657.45
4780,2024-09-28,622.4
6965,2023-05-01,316.75
6137,2024-12-07,94.94
6836,2023-11-18,100.03
5776,2023-10-17,923.99
4509,2023-09-13,692.39
4780,2025-01-02,135.83
2925,2023-10-15,363.16
4957,2024-07-26,596.56
3582,2024-10-11,837.22
5325,2024-06-19,53.22
6486,2023-05-27,244.27
2256,2025-02-07,890.85
6805,2024-08-09,19.07
3839,2023-08-31,209.39
3945,2024-07-09,959.43
2010,2024-09-30,617.27
4872,2023-09-01,269.05
2798,2023-11-10,76.32
6973,2024-06-15,37.91
3016,2025-02-04,252.3
3825,2023-12-31,882.67
6470,2024-04-27,421.75
5137,2024-08-24,723.13
4194,2024-08-14,919.1
2224,2023-04-13,413.96
6949,2023-10-09,199.36
6159,2023-06-16,521.95
5926,2024-02-29,909.0
6785,2023-10-15,806.33
6001,2024-03-25,75.17
3634,2024-09-16,695.65
4153,2024-12-08,576.18
2511,2024-09-01,908.39
2385,2025-02-01,131.26
2405,2025-01-15,538.7
6614,2023-07-14,880.67
6572,2024-02-03,415.92
4001,2024-07-03,487.17
4757,2024-09-07,79.76
3669,2023-03-30,285.36
3461,2023-05-05,331.26
5637,2024-07-04,945.67
4725,2024-10-11,289.84
6810,2024-05-04,466.26
6179,2024-10-18,674.59
4049,2023-08-12,170.56
6147,2023-08-11,491.58
6781,2023-08-24,741.15
2717,2025-03-24,868.19
6545,2024-01-11,630.0
6977,2024-06-13,672.36
6584,2024-03-14,135.02
3824,2023-05-21,946.32
4082,2025-03-04,141.25
5420,2024-05-31,776.93
3575,2023-04-06,272.17
2250,2023-11-10,934.26
2674,2025-03-21,722.76
6534,2023-08-18,756.28
4166,2025-02-04,226.87
2771,2024-04-11,448.61
5963,2023-03-28,621.64
6364,2024-06-17,772.27
3985,2024-09-12,112.92
3078,2023-05-07,962.74
2236,2025-03-23,891.32
2389,2024-04-05,277.65
5038,2023-12-10,824.53
6859,2024-09-24,523.14
3849,2023-10-03,467.19
6720,2025-03-01,321.29
4815,2023-07-18,585.16
5375,2024-02-27,732.59
5279,2024-04-30,416.82
3253,2024-10-14,632.93
5982,2024-04-10,702.32
6674,2024-10-23,714.01
4123,2025-01-13,61.45
6531,2024-01-13,861.15
4151,2025-01-13,463.67
6860,2025-02-03,269.79
3330,2024-02-17,249.35
3359,2023-05-20,488.18
4483,2024-03-17,887.96
6543,2024-12-08,384.56
4018,2024-11-22,752.23
3332,2025-03-17,105.85
6345,2024-10-05,481.3
6262,2025-03-06,991.77
3359,2024-01-29,772.73
6638,2024-10-10,218.42
6855,2024-01-05,506.43
5178,2023-11-07,241.29
4129,2024-05-11,415.47
4181,2024-11-24,782.28
6893,2025-01-23,773.51
2138,2023-07-06,235.82
5473,2024-03-30,923.0
4833,2023-07-06,596.64
5580,2024-03-24,386.13
5032,2025-03-15,506.92
6165,2024-09-17,609.02
4594,2024-10-25,564.29
6301,2023-04-09,491.54
5819,2024-12-22,509.88
6139,2023-10-20,184.65
5824,2024-07-03,814.61
6043,2024-09-12,546.34
3907,2023-06-05,139.77
2761,2025-03-13,768.5
5446,2024-05-07,933.12
2900,2024-11-11,947.83
6456,2024-07-15,375.33
4948,2025-03-13,144.16
3720,2023-07-02,523.22
2281,2024-06-07,121.48
5267,2023-07-25,934.65
3888,2025-03-05,191.74
5267,2024-06-19,260.24
2667,2024-08-19,412.57
6189,2024-07-13,389.33
2672,2024-03-17,796.72
3970,2024-05-30,461.75
6157,2024-07-22,179.06
5123,2023-05-13,274.54
6700,2023-04-10,514.02
6778,2024-10-24,155.98
5901,2024-12-20,615.54
2524,2024-10-25,570.09
4394,2023-05-24,717.56
5118,2025-01-30,938.33
4594,2024-10-30,913.13
3969,2023-04-02,946.61
3754,2025-03-12,252.27
4297,2024-11-01,140.25
4262,2024-08-04,309.25
4287,2025-02-01,896.13
6203,2023-04-29,972.33
4879,2024-07-23,860.73
6144,2024-02-24,118.92
5645,2024-11-12,947.95
6433,2023-07-01,429.12
4056,2025-02-13,19.22
6721,2024-04-15,447.97
3277,2024-03-18,55.61
4767,2023-04-15,548.44
2303,2023-12-29,345.17
2639,2024-02-16,478.7
2056,2023-12-13,617.04
6822,2024-09-02,870.11
2526,2024-03-18,665.28
6570,2024-09-15,439.71
6124,2024-08-24,821.23
4126,2024-12-20,906.53
5288,2024-04-07,128.56
2365,2024-06-30,536.61
6622,2024-05-30,291.67
6979,2023-05-20,56.59
3647,2023-09-20,671.86
2919,2023-10-20,864.14
4798,2024-02-19,171.27
3532,2024-05-01,814.29
5346,2024-12-26,854.86
3907,2024-01-30,915.2
5087,2024-01-04,272.63
6581,2024-02-26,904.91
4076,2024-11-03,327.46
2714,2023-04-28,556.81
3063,2023-12-27,60.0
3977,2025-01-09,53.44
3297,2023-04-07,723.17
2126,2024-02-29,450.04
6633,2023-10-15,263.73
5597,2024-06-30,198.51
5284,2024-06-15,673.25
3604,2024-01-23,10.4
2067,2025-03-02,807.83
2233,2024-06-22,88.46
4157,2023-11-10,199.57
3170,2023-10-21,392.37
4159,2023-05-30,490.01
6207,2024-11-13,361.45
3494,2024-05-15,327.51
6719,2023-07-31,964.28
6008,2024-07-08,645.16
4473,2024-10-04,33.2
4661,2023-04-19,435.87
4740,2024-04-13,876.26
3762,2024-02-05,308.44
5515,2023-06-21,103.61
3976,2023-10-20,760.8
4363,2023-06-20,609.95
2877,2024-08-11,574.61
5813,2023-06-14,63.04
5449,2024-08-19,149.09
3313,2023-11-13,626.32
3461,2023-05-17,215.75
4710,2023-05-02,509.03
4325,2023-09-07,549.43
3734,2023-08-07,290.67
3606,2023-06-17,948.94
4564,2024-12-21,844.04
5422,2024-12-05,725.15
5518,2025-02-05,87.21
4398,2024-10-26,115.07
5736,2023-10-18,497.85
4871,2024-03-31,169.11
3161,2024-04-02,978.48
6855,2023-04-25,166.94
2243,2024-08-01,492.59
4591,2025-02-03,370.48
3064,2025-03-23,642.99
6325,2023-05-28,137.75
4596,2023-10-06,436.01
2920,2023-07-28,281.96
2006,2025-03-25,888.87
2468,2023-03-30,50.18
6171,2024-04-17,914.59
2004,2023-12-22,834.66
2646,2024-01-18,304.6
2118,2024-03-03,791.4
4929,2024-03-25,40.9
4552,2024-07-04,967.2
6290,2023-10-31,531.33
2847,2023-06-22,310.25
4763,2024-08-15,368.96
3142,2024-05-28,75.74
3811,2023-09-07,989.46
2724,2023-12-27,48.9
2225,2023-11-02,658.36
6628,2024-01-05,448.31
6209,2024-10-01,949.43
6655,2024-04-11,253.54
4049,2023-11-10,536.77
6750,2023-08-12,487.53
6416,2024-03-17,705.84
3574,2024-08-21,77.33
3829,2024-02-18,201.85
3918,2025-03-22,222.42
6235,2024-03-02,740.77
4027,2024-02-11,197.25
5745,2024-01-11,577.76
2902,2023-08-14,223.09
6786,2023-04-07,863.01
4040,2024-11-16,942.76
2010,2024-01-03,523.31
2261,2024-02-07,358.79
3674,2023-07-01,241.72
4220,2024-07-30,59.28
4061,2025-03-23,275.82
5714,2023-05-03,657.69
3620,2023-09-15,538.28
2321,2023-07-05,944.6
3343,2023-12-31,402.31
4377,2024-12-03,696.92
4833,2024-11-26,494.43
4825,2024-05-09,517.45
3995,2025-01-06,275.1
4959,2024-07-19,460.4
4039,2023-10-09,476.08
5491,2024-03-15,709.58
5678,2024-01-10,941.23
3119,2024-12-09,336.03
3605,2025-03-13,51.78
6028,2023-06-07,501.33
2236,2023-07-23,549.02
3970,2025-03-14,176.76
6430,2023-11-26,762.86
3909,2024-01-02,985.08
2376,2023-08-30,946.32
5531,2024-10-09,205.13
4636,2023-10-10,876.61
3571,2024-09-21,707.45
4561,2024-02-13,459.31
5392,2024-02-01,545.2
4966,2023-04-13,851.1
5644,2024-03-03,485.33
5851,2023-11-26,379.48
2873,2024-10-31,498.32
3253,2023-04-04,583.34
3315,2023-09-07,197.19
6821,2024-08-22,901.9
4899,2023-12-23,677.45
2078,2025-02-14,636.94
4622,2024-09-17,108.5
6228,2024-01-21,608.13
2601,2023-11-15,129.75
3066,2024-03-15,87.91
4137,2025-01-22,532.04
4450,2024-06-14,408.76
4344,2024-09-14,592.92
3864,2024-09-17,98.33
3319,2024-01-22,436.67
6712,2024-12-08,183.04
5598,2024-06-06,987.23
5763,2024-05-05,565.54
6671,2023-07-18,690.56
4191,2024-04-19,332.16
2993,2023-06-23,103.79
4713,2023-06-22,976.11
4193,2025-02-28,293.4
3249,2025-03-13,429.57
5055,2025-02-27,653.37
6599,2024-05-27,34.45
6034,2024-10-16,812.16
3998,2023-10-02,541.21
6917,2023-12-13,285.44
5688,2023-11-07,70.99
4152,2024-03-18,170.87
6019,2024-03-31,896.08
5111,2023-10-20,689.16
3971,2025-03-14,257.4
2198,2024-02-05,74.94
4627,2024-05-02,693.71
3203,2024-10-14,576.68
4036,2024-08-18,410.47
2478,2025-03-05,369.98
3255,2023-07-03,224.65
2923,2025-02-17,672.92
2420,2023-05-26,970.96
4205,2024-02-24,183.96
4598,2023-09-08,601.15
3121,2023-07-08,429.94
5069,2024-01-30,452.22
2951,2024-05-22,261.61
4337,2023-07-21,826.88
4244,2025-01-22,490.4
4646,2024-07-05,547.97
3858,2023-11-05,311.71
6613,2024-05-24,189.99
3866,2023-10-14,95.05
4913,2024-10-19,716.98
4854,2024-10-02,204.27
6911,2023-12-21,693.17
5229,2024-03-11,396.47
5720,2023-12-14,421.62
5229,2025-03-11,474.49
4372,2024-03-31,374.03
4892,2024-08-15,109.61
5757,2023-11-29,316.54
6226,2024-07-24,667.1
2095,2023-07-07,669.13
4675,2024-06-13,293.36
3956,2024-08-14,465.5
2794,2024-01-25,201.51
3835,2024-08-27,218.27
4117,2024-09-27,32.82
6107,2023-12-26,897.78
5326,2023-06-11,218.6
4920,2024-01-21,235.26
4598,2023-05-14,286.81
5206,2024-12-17,136.13
6808,2023-06-03,642.87
2815,2023-04-30,84.39
2346,2023-12-22,142.86
4350,2023-10-02,648.31
2363,2024-07-27,346.26
4444,2025-02-14,710.87
4266,2023-10-27,561.85
4189,2024-09-18,263.46
5006,2024-04-07,654.32
5282,2024-09-10,125.11
2985,2024-09-09,541.05
3640,2024-12-30,442.78
2828,2024-06-21,275.19
4731,2025-01-05,607.96
5532,2024-09-04,872.62
6452,2024-11-14,998.92
4936,2024-06-07,611.69
5877,2024-03-20,410.66
2127,2023-09-15,232.96
5178,2023-05-15,264.53
5057,2024-01-11,484.66
2604,2024-01-25,373.6
5450,2023-10-29,914.68
6147,2023-05-28,374.61
5534,2024-11-02,379.71
5368,2023-09-09,389.7
5369,2025-03-23,838.25
5798,2024-10-12,654.28
3793,2023-06-26,618.03
4862,2023-10-21,340.8
5477,2023-05-11,819.73
5418,2025-03-02,47.98
3646,2023-08-04,872.09
3206,2024-05-22,517.62
5031,2024-07-16,404.27
4873,2023-05-11,502.2
5073,2024-01-22,670.74
3855,2024-05-02,22.64
6022,2023-04-25,872.84
6663,2025-01-31,452.27
4709,2024-06-03,349.54
5503,2024-05-23,146.86
3333,2024-01-27,445.07
