Order_ID,Customer_ID,Order_Date,Product_Name,Category,Quantity,Unit_Price ($),Total_Amount ($)
10206,2559,2023-06-18,Cookware,Home & Kitchen,5,140.75,703.75
10207,4897,2023-07-28,Lipstick,Beauty,3,93.51,280.53
10208,3918,2023-10-10,Tablet,Electronics,2,379.51,759.02
10209,3255,2024-12-01,Cookware,Home & Kitchen,1,213.65,213.65
10210,3682,2024-05-21,Lego,Toys,3,457.73,1373.19
10211,3815,2023-08-13,Lego,Toys,5,325.64,1628.2
10212,2663,2024-09-22,Cookware,Home & Kitchen,5,286.53,1432.65
10213,6117,2024-07-06,T-Shirt,Clothing,4,44.52,178.08
10214,5326,2024-03-23,Sneakers,Clothing,3,367.9,1103.7
10215,3242,2024-08-05,Sneakers,Clothing,2,346.16,692.32
10216,5144,2024-03-25,Microwave,Home & Kitchen,5,323.64,1618.2
10217,5038,2023-12-29,Blender,Home & Kitchen,2,141.28,282.56
10218,2162,2025-03-06,Lego,Toys,2,473.9,947.8
10219,6226,2023-12-09,Lipstick,Beauty,1,167.61,167.61
10220,3951,2025-01-28,Lipstick,Beauty,2,84.59,169.18
10221,6321,2023-06-28,Laptop,Electronics,4,493.73,1974.92
10222,3782,2023-06-19,Microwave,Home & Kitchen,3,375.66,1126.98
10223,6676,2024-03-17,Lipstick,Beauty,3,213.25,639.75
10224,3478,2023-07-18,Lipstick,Beauty,1,468.6,468.6
10225,5031,2024-05-19,Jacket,Clothing,4,54.65,218.6
10226,5987,2023-05-28,Jacket,Clothing,4,52.95,211.8
10227,2107,2024-08-06,T-Shirt,Clothing,3,344.4,1033.2
10228,4669,2024-12-08,Biography,Books,4,97.21,388.84
10229,6936,2024-06-08,Perfume,Beauty,5,459.4,2297.0
10230,3165,2023-12-25,Jeans,Clothing,2,421.78,843.56
10231,3158,2023-11-20,Sneakers,Clothing,2,160.12,320.24
10232,4247,2025-02-05,Microwave,Home & Kitchen,3,445.53,1336.59
10233,2667,2023-10-17,Action Figure,Toys,3,31.01,93.03
10234,4127,2024-10-28,Sneakers,Clothing,4,278.83,1115.32
10235,4942,2024-08-24,Microwave,Home & Kitchen,1,468.43,468.43
10236,2512,2024-03-29,Tablet,Electronics,3,429.14,1287.42
10237,2250,2024-07-29,T-Shirt,Clothing,3,184.48,553.44
10238,2889,2023-06-25,Board Game,Toys,3,99.61,298.83
10239,3024,2023-04-24,Blender,Home & Kitchen,4,113.16,452.64
10240,6695,2024-01-10,Action Figure,Toys,5,262.11,1310.55
10241,6849,2024-07-15,T-Shirt,Clothing,3,302.42,907.26
10242,2600,2023-11-04,Headphones,Electronics,5,26.08,130.4
10243,5023,2023-04-17,T-Shirt,Clothing,4,212.64,850.56
10244,4531,2024-02-25,Vacuum Cleaner,Home & Kitchen,1,416.89,416.89
10245,4884,2024-08-26,Smartphone,Electronics,2,227.72,455.44
10246,4065,2023-12-04,Smartphone,Electronics,2,92.9,185.8
10247,3759,2023-08-26,Laptop,Electronics,2,477.88,955.76
10248,5570,2024-09-22,Non-Fiction,Books,2,140.48,280.96
10249,3243,2025-02-24,Microwave,Home & Kitchen,4,401.23,1604.92
10250,6330,2024-06-23,Biography,Books,2,104.96,209.92
10251,4296,2023-06-15,Action Figure,Toys,4,217.35,869.4
10252,3926,2025-02-01,Smartphone,Electronics,1,250.31,250.31
10253,4063,2023-08-29,Non-Fiction,Books,3,255.31,765.93
10254,5396,2024-11-08,Jeans,Clothing,3,263.07,789.21
10255,2441,2024-02-18,Fiction,Books,3,120.22,360.66
10256,4744,2023-04-30,Lipstick,Beauty,4,262.8,1051.2
10257,2007,2025-03-04,Doll,Toys,4,246.04,984.16
10258,3587,2023-07-20,Headphones,Electronics,4,112.27,449.08
10259,2826,2024-12-31,Smartphone,Electronics,1,494.21,494.21
10260,5825,2023-10-18,Lego,Toys,5,434.13,2170.65
10261,3269,2024-01-13,Lego,Toys,4,444.91,1779.64
10262,5437,2023-07-01,Cookware,Home & Kitchen,4,345.93,1383.72
10263,5439,2024-12-04,Jacket,Clothing,3,88.35,265.05
10264,3311,2023-05-06,Board Game,Toys,2,288.37,576.74
10265,6034,2024-11-28,Lego,Toys,2,412.51,825.02
10266,3628,2024-05-28,Blender,Home & Kitchen,1,28.98,28.98
10267,3037,2024-03-21,Lego,Toys,2,252.96,505.92
10268,2478,2024-10-18,Fiction,Books,5,204.1,1020.5
10269,4679,2025-03-09,Lipstick,Beauty,3,113.94,341.82
10270,2715,2024-01-31,Skincare Set,Beauty,1,195.34,195.34
10271,3677,2025-02-06,Lipstick,Beauty,2,491.91,983.82
10272,4163,2023-08-13,Lego,Toys,2,364.39,728.78
10273,2509,2024-06-28,Foundation,Beauty,3,156.77,470.31
10274,2382,2023-11-21,Jacket,Clothing,1,306.62,306.62
10275,3181,2024-04-14,Fiction,Books,3,130.86,392.58
10276,3846,2024-12-06,Foundation,Beauty,1,309.31,309.31
10277,6371,2023-12-28,Laptop,Electronics,2,449.12,898.24
10278,3719,2025-02-10,Doll,Toys,3,282.87,848.61
10279,3101,2023-07-02,Fiction,Books,3,369.34,1108.02
10280,3861,2023-07-25,T-Shirt,Clothing,5,232.14,1160.7
10281,4092,2024-10-16,Skincare Set,Beauty,3,266.82,800.46
10282,2718,2023-11-04,Jacket,Clothing,1,350.59,350.59
10283,2318,2024-05-18,Action Figure,Toys,5,408.08,2040.4
10284,6630,2024-10-22,Skincare Set,Beauty,3,333.13,999.39
10285,3777,2023-05-18,Smartphone,Electronics,3,488.97,1466.91
10286,4285,2023-05-08,Non-Fiction,Books,5,411.71,2058.55
10287,3245,2024-10-26,Laptop,Electronics,2,390.81,781.62
10288,3334,2023-12-03,Lipstick,Beauty,3,424.1,1272.3
10289,5670,2023-09-01,Blender,Home & Kitchen,4,147.79,591.16
10290,3201,2024-12-16,Comics,Books,2,221.7,443.4
10291,3795,2024-02-22,T-Shirt,Clothing,3,286.59,859.77
10292,4702,2023-07-11,Lipstick,Beauty,2,236.57,473.14
10293,3455,2024-10-08,Tablet,Electronics,1,425.25,425.25
10294,3934,2023-12-30,Board Game,Toys,2,23.26,46.52
10295,2747,2024-05-24,Microwave,Home & Kitchen,5,112.5,562.5
10296,2841,2024-11-08,Board Game,Toys,3,442.04,1326.12
10297,4496,2025-03-10,Lipstick,Beauty,2,38.96,77.92
10298,3089,2023-11-18,Jeans,Clothing,4,121.22,484.88
10299,2793,2024-09-09,Laptop,Electronics,1,182.11,182.11
10300,3268,2024-10-20,Biography,Books,1,377.86,377.86
10301,3551,2025-03-16,Cookware,Home & Kitchen,2,284.49,568.98
10302,4691,2023-08-17,Lipstick,Beauty,5,477.76,2388.8
10303,2293,2023-11-05,Foundation,Beauty,1,121.66,121.66
10304,6023,2024-04-24,Foundation,Beauty,2,437.34,874.68
10305,3405,2023-08-30,Lipstick,Beauty,2,148.63,297.26
10306,3649,2024-06-30,Laptop,Electronics,1,130.29,130.29
10307,4817,2024-02-27,Biography,Books,2,254.2,508.4
10308,5911,2023-05-17,Jacket,Clothing,2,44.89,89.78
10309,4919,2024-01-20,Blender,Home & Kitchen,4,198.31,793.24
10310,3398,2023-12-07,Foundation,Beauty,2,184.28,368.56
10311,3694,2025-01-27,Action Figure,Toys,2,88.45,176.9
10312,3038,2024-04-12,Foundation,Beauty,5,431.79,2158.95
10313,5853,2024-05-08,Fiction,Books,1,199.09,199.09
10314,3563,2024-02-15,Comics,Books,5,491.14,2455.7
10315,3113,2024-06-05,Smartphone,Electronics,3,450.86,1352.58
10316,3292,2024-05-11,Tablet,Electronics,5,105.46,527.3
10317,3162,2023-11-30,Action Figure,Toys,3,257.51,772.53
10318,3030,2024-01-12,Board Game,Toys,3,304.88,914.64
10319,6338,2025-01-13,Tablet,Electronics,5,411.29,2056.45
10320,6258,2025-01-15,Blender,Home & Kitchen,4,443.96,1775.84
10321,4740,2023-06-19,Action Figure,Toys,5,315.77,1578.85
10322,2979,2023-03-31,Laptop,Electronics,1,27.22,27.22
10323,2518,2024-07-17,Skincare Set,Beauty,5,245.83,1229.15
10324,6994,2024-06-24,Smartphone,Electronics,4,443.55,1774.2
10325,2783,2024-08-21,Blender,Home & Kitchen,5,359.9,1799.5
10326,4832,2023-06-06,Headphones,Electronics,4,436.37,1745.48
10327,6181,2023-08-18,Laptop,Electronics,1,340.3,340.3
10328,2138,2024-03-31,Lipstick,Beauty,2,31.58,63.16
10329,2754,2023-10-09,Board Game,Toys,4,484.32,1937.28
10330,4954,2023-09-04,Perfume,Beauty,4,459.83,1839.32
10331,6809,2023-06-24,Foundation,Beauty,4,72.02,288.08
10332,4456,2024-12-27,Tablet,Electronics,1,65.22,65.22
10333,4835,2023-08-25,Skincare Set,Beauty,3,274.15,822.45
10334,2580,2024-05-28,Non-Fiction,Books,4,380.95,1523.8
10335,5256,2024-07-28,Jeans,Clothing,1,197.26,197.26
10336,5267,2025-02-10,Jacket,Clothing,2,76.83,153.66
10337,6650,2023-05-10,Skincare Set,Beauty,4,260.17,1040.68
10338,2396,2023-08-03,Doll,Toys,3,175.41,526.23
10339,3938,2023-05-03,Microwave,Home & Kitchen,1,182.37,182.37
10340,6906,2024-06-08,Lipstick,Beauty,2,326.04,652.08
10341,4590,2024-10-28,Lego,Toys,3,443.95,1331.85
10342,5035,2024-12-24,Lipstick,Beauty,2,283.71,567.42
10343,2170,2024-04-19,Tablet,Electronics,3,346.93,1040.79
10344,4338,2023-04-29,Action Figure,Toys,5,333.37,1666.85
10345,5240,2024-03-25,Cookware,Home & Kitchen,5,280.06,1400.3
10346,5416,2023-09-19,Foundation,Beauty,5,162.27,811.35
10347,5569,2024-04-26,Comics,Books,2,195.12,390.24
10348,5217,2023-07-05,Action Figure,Toys,5,164.69,823.45
10349,5485,2024-02-13,Jeans,Clothing,1,459.57,459.57
10350,6836,2024-09-14,Action Figure,Toys,1,415.04,415.04
10351,3842,2024-04-06,Biography,Books,5,293.88,1469.4
10352,5761,2024-11-12,Non-Fiction,Books,3,457.0,1371.0
10353,6553,2024-04-06,Fiction,Books,3,444.34,1333.02
10354,5027,2024-12-04,Blender,Home & Kitchen,2,464.57,929.14
10355,5966,2024-05-03,Cookware,Home & Kitchen,3,118.67,356.01
10356,3602,2023-10-05,Lego,Toys,4,361.58,1446.32
10357,3147,2024-08-28,Cookware,Home & Kitchen,3,308.52,925.56
10358,6327,2023-04-20,Jacket,Clothing,1,369.58,369.58
10359,4685,2025-03-15,Tablet,Electronics,3,139.06,417.18
10360,2112,2024-02-07,Action Figure,Toys,2,350.46,700.92
10361,2593,2025-02-28,Perfume,Beauty,3,210.82,632.46
10362,4440,2025-03-19,Perfume,Beauty,2,418.7,837.4
10363,3239,2023-09-09,Lego,Toys,4,399.73,1598.92
10364,4795,2024-05-07,Laptop,Electronics,5,113.57,567.85
10365,4415,2024-03-10,Lipstick,Beauty,4,100.09,400.36
10366,4130,2024-04-12,Board Game,Toys,1,361.69,361.69
10367,4854,2025-03-22,Board Game,Toys,4,279.73,1118.92
10368,4870,2024-09-18,Biography,Books,4,283.03,1132.12
10369,5599,2024-09-18,Jeans,Clothing,1,378.73,378.73
10370,5804,2024-02-04,Skincare Set,Beauty,1,428.94,428.94
10371,3527,2024-09-13,Jacket,Clothing,5,127.09,635.45
10372,3970,2023-04-29,Lego,Toys,5,282.21,1411.05
10373,2952,2023-08-18,Laptop,Electronics,3,416.19,1248.57
10374,3503,2024-10-31,Lego,Toys,2,437.67,875.34
10375,6468,2024-02-04,Foundation,Beauty,1,150.83,150.83
10376,5337,2025-01-08,Sneakers,Clothing,4,61.04,244.16
10377,2110,2024-07-10,Comics,Books,4,124.08,496.32
10378,5987,2024-01-18,Fiction,Books,5,473.29,2366.45
10379,4355,2024-10-07,Board Game,Toys,2,236.62,473.24
10380,2226,2023-05-12,Laptop,Electronics,1,215.1,215.1
10381,5012,2023-10-19,Blender,Home & Kitchen,5,16.41,82.05
10382,6127,2025-01-26,Skincare Set,Beauty,2,35.0,70.0
10383,2614,2025-01-21,Lego,Toys,1,337.66,337.66
10384,2099,2024-01-09,Comics,Books,4,299.02,1196.08
10385,2811,2024-06-26,Biography,Books,4,292.01,1168.04
10386,5338,2024-10-30,Headphones,Electronics,5,64.06,320.3
10387,4700,2025-01-17,Non-Fiction,Books,2,182.51,365.02
10388,6910,2025-03-06,Perfume,Beauty,4,408.06,1632.24
10389,3020,2024-07-11,Tablet,Electronics,2,95.71,191.42
10390,5026,2024-09-06,Jeans,Clothing,5,442.52,2212.6
10391,5529,2024-07-04,Headphones,Electronics,3,69.52,208.56
10392,5887,2024-02-12,Lipstick,Beauty,2,92.88,185.76
10393,4980,2024-10-31,Perfume,Beauty,2,244.1,488.2
10394,5341,2023-04-26,Jeans,Clothing,5,473.2,2366.0
10395,2797,2023-07-05,Lego,Toys,3,171.48,514.44
10396,3958,2024-08-02,Tablet,Electronics,4,332.53,1330.12
10397,5067,2025-02-26,Skincare Set,Beauty,1,298.45,298.45
10398,5021,2023-08-14,Foundation,Beauty,5,83.32,416.6
10399,4681,2025-03-08,Jacket,Clothing,1,131.6,131.6
10400,6442,2024-11-29,Blender,Home & Kitchen,3,465.77,1397.31
10401,6820,2024-06-11,Tablet,Electronics,3,100.57,301.71
10402,4949,2024-08-01,Skincare Set,Beauty,2,350.55,701.1
10403,5732,2025-02-15,Fiction,Books,1,482.7,482.7
10404,3102,2023-11-24,Jeans,Clothing,1,68.56,68.56
10405,3038,2024-09-20,Blender,Home & Kitchen,3,205.6,616.8
10406,6232,2024-06-17,Cookware,Home & Kitchen,1,119.73,119.73
10407,2792,2023-07-02,Jeans,Clothing,4,118.57,474.28
10408,6175,2024-09-05,Microwave,Home & Kitchen,3,68.3,204.9
10409,3779,2023-10-13,Perfume,Beauty,2,328.28,656.56
10410,6801,2023-10-22,Microwave,Home & Kitchen,2,375.71,751.42
10411,2982,2024-05-22,Tablet,Electronics,2,341.63,683.26
10412,3266,2024-07-18,Non-Fiction,Books,1,463.08,463.08
