transaction_id,customer_id,product_category,product_name,quantity,unit_price,total_price,discount_applied,purchase_date,payment_method,final_price,purchase_year,purchase_month,purchase_type,price_category,transaction_flag
10116,2725,Beauty,Skincare Set,4,405.91,1623.64,0.1,2023-08-22,bank_transfer,1461.276,2023,August,single item,High,High Value
10117,2720,Toys,Doll,2,232.8,465.6,0.05,2024-12-25,paypal,442.32,2024,December,single item,High,High Value
10118,2749,Home & kitchen,Vacuum Cleaner,9,452.36,4071.24,0.1,2024-10-27,bank_transfer,3664.116,2024,October,bulk,High,High Value
10119,2338,Electronics,Smartphone,2,207.87,415.74,0.15,2023-11-02,bank_transfer,353.379,2023,November,single item,High,High Value
10120,2879,Books,Fiction,9,264.84,2383.56,0.05,2025-09-03,bank_transfer,2264.382,2025,September,bulk,High,High Value
10121,2053,Clothing,Sneakers,10,241.18,2411.8,0.1,2023-05-09,credit_card,2170.6200000000003,2023,May,bulk,High,High Value
10122,2792,Toys,Board Game,6,226.57,1359.42,0.1,2023-04-19,paypal,1223.478,2023,April,bulk,High,High Value
10123,2922,Books,Non-Fiction,9,388.72,3498.4800000000005,0.15,2024-12-22,credit_card,2973.7080000000005,2024,December,bulk,High,High Value
10124,2217,Home & kitchen,Blender,9,265.75,2391.75,0.1,2024-08-30,paypal,2152.5750000000003,2024,August,bulk,High,High Value
10125,2764,Electronics,Laptop,3,161.77,485.31000000000006,0.05,2024-10-29,credit_card,461.0445,2024,October,single item,High,High Value
10126,2188,Home & kitchen,Vacuum Cleaner,1,132.79,132.79,0.05,2024-10-06,credit_card,126.15049999999998,2024,October,single item,High,High Value
10127,2380,Electronics,Laptop,1,23.68,23.68,0.0,2023-11-20,credit_card,23.68,2023,November,single item,Medium,Normal Txn
10128,2493,Beauty,Perfume,3,293.68,881.04,0.05,2023-09-19,bank_transfer,836.9879999999999,2023,September,single item,High,High Value
10129,2041,Clothing,Jacket,5,118.83,594.15,0.15,2023-05-23,paypal,505.0275,2023,May,single item,High,High Value
10130,2157,Beauty,Lipstick,3,78.33,234.99,0.1,2025-01-12,credit_card,211.491,2025,January,single item,Medium,High Value
10131,2015,Beauty,Foundation,9,328.65,2957.85,0.1,2024-12-07,credit_card,2662.065,2024,December,bulk,High,High Value
10132,2813,Home & kitchen,Cookware,9,342.2,3079.8,0.1,2023-12-25,credit_card,2771.82,2023,December,bulk,High,High Value
10133,2065,Clothing,Sneakers,3,377.32,1131.96,0.05,2023-08-25,credit_card,1075.362,2023,August,single item,High,High Value
10134,2857,Electronics,Smartphone,3,254.27,762.8100000000001,0.15,2024-08-06,bank_transfer,648.3885,2024,August,single item,High,High Value
10135,2839,Electronics,Laptop,5,447.56,2237.8,0.05,2025-02-23,bank_transfer,2125.91,2025,February,single item,High,High Value
10136,2521,Toys,Board Game,2,468.49,936.98,0.05,2024-03-10,credit_card,890.131,2024,March,single item,High,High Value
10137,2344,Books,Non-Fiction,6,404.65,2427.9,0.15,2024-04-27,credit_card,2063.715,2024,April,bulk,High,High Value
10138,2129,Toys,Board Game,7,319.62,2237.34,0.1,2023-06-27,bank_transfer,2013.6060000000002,2023,June,bulk,High,High Value
10139,2648,Toys,Lego,9,155.34,1398.06,0.1,2024-05-21,bank_transfer,1258.254,2024,May,bulk,High,High Value
10140,2472,Electronics,Laptop,6,491.56,2949.36,0.0,2024-12-20,credit_card,2949.36,2024,December,bulk,High,High Value
10141,2063,Home & kitchen,Vacuum Cleaner,3,140.7,422.1,0.05,2025-02-23,paypal,400.995,2025,February,single item,High,High Value
10142,2139,Beauty,Perfume,5,105.32,526.5999999999999,0.15,2023-10-11,paypal,447.6099999999999,2023,October,single item,High,High Value
10143,2499,Beauty,Skincare Set,4,223.87,895.48,0.05,2024-02-21,credit_card,850.706,2024,February,single item,High,High Value
10144,2593,Beauty,Foundation,5,33.14,165.7,0.05,2024-02-14,paypal,157.415,2024,February,single item,Medium,High Value
10145,2392,Clothing,T-Shirt,8,489.35,3914.8,0.1,2023-08-29,paypal,3523.32,2023,August,bulk,High,High Value
10146,2675,Electronics,Smartphone,8,296.27,2370.16,0.0,2023-04-22,paypal,2370.16,2023,April,bulk,High,High Value
10147,2419,Home & kitchen,Microwave,6,280.69,1684.14,0.05,2024-12-05,paypal,1599.933,2024,December,bulk,High,High Value
10148,2289,Clothing,Jeans,1,329.62,329.62,0.1,2024-01-01,paypal,296.658,2024,January,single item,High,High Value
10149,2379,Books,Biography,8,251.03,2008.24,0.0,2024-11-22,bank_transfer,2008.24,2024,November,bulk,High,High Value
10150,2773,Home & kitchen,Cookware,8,20.87,166.96,0.05,2023-08-27,credit_card,158.612,2023,August,bulk,Medium,High Value
10151,2490,Toys,Doll,2,308.09,616.18,0.15,2023-04-11,credit_card,523.7529999999999,2023,April,single item,High,High Value
10152,2231,Home & kitchen,Vacuum Cleaner,4,359.51,1438.04,0.1,2025-01-04,paypal,1294.236,2025,January,single item,High,High Value
10153,2041,Home & kitchen,Blender,2,211.29,422.58,0.1,2024-09-17,bank_transfer,380.322,2024,September,single item,High,High Value
10154,2028,Beauty,Lipstick,4,379.86,1519.44,0.1,2023-11-22,credit_card,1367.496,2023,November,single item,High,High Value
10155,2135,Home & kitchen,Vacuum Cleaner,10,117.37,1173.7,0.1,2024-08-06,credit_card,1056.3300000000002,2024,August,bulk,High,High Value
10156,2201,Toys,Action Figure,7,114.53,801.71,0.15,2025-02-06,credit_card,681.4535,2025,February,bulk,High,High Value
10157,2840,Toys,Action Figure,9,84.9,764.1,0.15,2025-03-06,paypal,649.485,2025,March,bulk,Medium,High Value
10158,2780,Electronics,Laptop,8,189.14,1513.12,0.15,2023-09-09,paypal,1286.1519999999998,2023,September,bulk,High,High Value
10159,2930,Home & kitchen,Vacuum Cleaner,9,424.27,3818.43,0.0,2024-12-21,credit_card,3818.43,2024,December,bulk,High,High Value
10160,2033,Beauty,Perfume,8,414.82,3318.56,0.1,2023-04-17,paypal,2986.704,2023,April,bulk,High,High Value
10161,2048,Home & kitchen,Blender,2,194.5,389.0,0.0,2023-06-28,paypal,389.0,2023,June,single item,High,High Value
10162,2503,Books,Fiction,7,296.61,2076.27,0.0,2024-04-19,credit_card,2076.27,2024,April,bulk,High,High Value
10163,2407,Books,Non-Fiction,2,361.8,723.6,0.05,2023-04-05,credit_card,687.42,2023,April,single item,High,High Value
10164,2574,Beauty,Foundation,2,124.4,248.8,0.1,2024-12-25,paypal,223.92000000000002,2024,December,single item,High,High Value
10165,2728,Electronics,Tablet,4,88.23,352.92,0.15,2024-12-03,paypal,299.982,2024,December,single item,Medium,High Value
10166,2805,Electronics,Laptop,1,486.19,486.19,0.05,2024-10-20,bank_transfer,461.8805,2024,October,single item,High,High Value
10167,2099,Toys,Action Figure,5,310.69,1553.45,0.15,2024-10-26,paypal,1320.4325,2024,October,single item,High,High Value
10168,2684,Toys,Board Game,6,490.8,2944.8,0.1,2024-06-15,paypal,2650.32,2024,June,bulk,High,High Value
10169,2872,Clothing,Sneakers,9,172.19,1549.71,0.05,2024-08-21,credit_card,1472.2245,2024,August,bulk,High,High Value
10170,2726,Beauty,Skincare Set,10,353.0,3530.0,0.05,2023-06-24,credit_card,3353.5,2023,June,bulk,High,High Value
10171,2987,Home & kitchen,Cookware,8,115.19,921.52,0.1,2023-12-14,credit_card,829.368,2023,December,bulk,High,High Value
10172,2547,Beauty,Lipstick,2,134.29,268.58,0.05,2024-12-07,bank_transfer,255.15099999999998,2024,December,single item,High,High Value
10173,2961,Clothing,Jeans,1,258.39,258.39,0.1,2025-10-02,paypal,232.551,2025,October,single item,High,High Value
10174,2739,Toys,Action Figure,2,163.21,326.42,0.05,2025-09-02,bank_transfer,310.099,2025,September,single item,High,High Value
10175,2613,Beauty,Lipstick,7,87.97,615.79,0.0,2024-08-18,bank_transfer,615.79,2024,August,bulk,Medium,High Value
10176,2943,Beauty,Foundation,4,135.13,540.52,0.1,2023-10-29,paypal,486.468,2023,October,single item,High,High Value
10177,2462,Toys,Doll,10,22.7,227.0,0.15,2024-11-11,bank_transfer,192.95,2024,November,bulk,Medium,High Value
10178,2643,Clothing,Sneakers,5,353.69,1768.45,0.1,2023-06-17,paypal,1591.605,2023,June,single item,High,High Value
10179,2769,Toys,Action Figure,7,248.6,1740.2,0.15,2023-07-06,paypal,1479.17,2023,July,bulk,High,High Value
10180,2005,Electronics,Laptop,3,51.65,154.95,0.0,2024-02-19,bank_transfer,154.95,2024,February,single item,Medium,High Value
10181,2218,Home & kitchen,Vacuum Cleaner,10,89.99,899.9,0.05,2023-10-20,paypal,854.905,2023,October,bulk,Medium,High Value
10182,2503,Toys,Action Figure,2,55.75,111.5,0.0,2023-04-12,bank_transfer,111.5,2023,April,single item,Medium,High Value
10183,2767,Clothing,T-Shirt,7,308.23,2157.61,0.05,2024-03-05,credit_card,2049.7295,2024,March,bulk,High,High Value
10184,2398,Books,Comics,5,51.63,258.15000000000003,0.05,2023-04-06,bank_transfer,245.2425,2023,April,single item,Medium,High Value
10185,2871,Electronics,Headphones,1,378.37,378.37,0.0,2023-07-14,paypal,378.37,2023,July,single item,High,High Value
10186,2795,Books,Fiction,1,15.15,15.15,0.1,2025-02-14,paypal,13.635,2025,February,single item,Low,Normal Txn
10187,2393,Toys,Doll,9,128.44,1155.96,0.1,2024-03-29,credit_card,1040.364,2024,March,bulk,High,High Value
10188,2207,Electronics,Tablet,5,445.88,2229.4,0.05,2023-08-30,credit_card,2117.93,2023,August,single item,High,High Value
10189,2015,Home & kitchen,Cookware,1,360.67,360.67,0.15,2024-07-18,credit_card,306.5695,2024,July,single item,High,High Value
10190,2858,Toys,Board Game,7,41.12,287.84,0.15,2024-01-12,credit_card,244.66399999999996,2024,January,bulk,Medium,High Value
10191,2554,Home & kitchen,Blender,9,411.46,3703.14,0.1,2023-10-12,bank_transfer,3332.826,2023,October,bulk,High,High Value
10192,2892,Beauty,Lipstick,1,249.05,249.05,0.0,2023-05-05,paypal,249.05,2023,May,single item,High,High Value
10193,2461,Books,Non-Fiction,10,424.16,4241.6,0.15,2023-07-14,paypal,3605.36,2023,July,bulk,High,High Value
10194,2691,Electronics,Laptop,4,302.37,1209.48,0.0,2024-04-30,paypal,1209.48,2024,April,single item,High,High Value
10195,2575,Home & kitchen,Microwave,3,342.51,1027.53,0.05,2023-04-12,bank_transfer,976.1534999999999,2023,April,single item,High,High Value
10196,2864,Clothing,Jeans,5,496.78,2483.9,0.15,2024-02-21,credit_card,2111.315,2024,February,single item,High,High Value
10197,2743,Home & kitchen,Cookware,7,120.01,840.07,0.0,2024-12-14,credit_card,840.07,2024,December,bulk,High,High Value
10198,2241,Clothing,Jacket,8,313.85,2510.8,0.05,2024-07-14,paypal,2385.26,2024,July,bulk,High,High Value
10199,2564,Toys,Action Figure,2,232.86,465.72,0.0,2023-06-15,credit_card,465.72,2023,June,single item,High,High Value
10200,2096,Electronics,Tablet,7,24.53,171.71,0.1,2023-11-05,credit_card,154.53900000000002,2023,November,bulk,Medium,High Value
10201,2900,Home & kitchen,Blender,1,12.16,12.16,0.05,2024-06-11,credit_card,11.552,2024,June,single item,Low,Normal Txn
10202,2734,Home & kitchen,Blender,7,64.02,448.14,0.0,2024-11-14,credit_card,448.14,2024,November,bulk,Medium,High Value
10203,2485,Electronics,Tablet,8,326.3,2610.4,0.0,2024-09-08,credit_card,2610.4,2024,September,bulk,High,High Value
10204,2407,Home & kitchen,Cookware,2,285.75,571.5,0.1,2024-06-23,credit_card,514.35,2024,June,single item,High,High Value
10205,2231,Clothing,Sneakers,9,278.95,2510.55,0.1,2024-02-17,bank_transfer,2259.4950000000003,2024,February,bulk,High,High Value
10206,2749,Home & kitchen,Microwave,1,20.77,20.77,0.15,2023-05-27,bank_transfer,17.6545,2023,May,single item,Medium,Normal Txn
10207,2655,Books,Biography,6,237.3,1423.8000000000002,0.0,2025-03-15,paypal,1423.8000000000002,2025,March,bulk,High,High Value
10208,2171,Toys,Lego,1,462.69,462.69,0.15,2023-07-21,bank_transfer,393.2865,2023,July,single item,High,High Value
10209,2541,Beauty,Perfume,3,201.81,605.4300000000001,0.15,2023-04-05,bank_transfer,514.6155,2023,April,single item,High,High Value
10210,2036,Clothing,Jacket,6,314.34,1886.04,0.15,2024-05-13,credit_card,1603.134,2024,May,bulk,High,High Value
10211,2525,Books,Fiction,3,391.01,1173.03,0.1,2025-01-27,bank_transfer,1055.727,2025,January,single item,High,High Value
10212,2160,Toys,Action Figure,8,393.04,3144.32,0.0,2024-09-15,bank_transfer,3144.32,2024,September,bulk,High,High Value
10213,2839,Electronics,Smartphone,5,262.04,1310.2,0.05,2023-11-25,credit_card,1244.69,2023,November,single item,High,High Value
10214,2699,Clothing,Jacket,2,429.69,859.38,0.15,2025-03-14,credit_card,730.473,2025,March,single item,High,High Value
