Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price ($),Total_Price ($),Discount Applied (%),Purchase_Date,Payment_Method
10100,2730,Electronics,Tablet,7,331.33,2319.31,15%,09/08/2023,BANK_TRANSFER
10101,2556,Home & Kitchen,Microwave,9,175.67,1581.03,10%,2023-12-27,BANK_TRANSFER
10102,2162,Books,Biography,2,447.36,894.72,10%,09/05/2023,bank transfer
10103,2202,Electronics,Headphones,8,149.3,1194.4,15%,10-12-2024,PayPal
10104,2958,Home & Kitchen,Cookware,9,283.54,2551.86,15%,2023-08-23,bank transfer
10105,2996,Electronics,Laptop,3,54.37,163.10999999999999,10%,2024-04-03,PayPal
10106,2270,Toys,Doll,2,461.37,922.74,10%,28/12/2023,PayPal
10107,2863,Electronics,Headphones,7,74.68,522.76,5%,01/02/2024,PayPal
10108,2816,Beauty,Foundation,5,116.32,581.5999999999999,15%,30/11/2024,bank transfer
10109,2271,Home & Kitchen,Vacuum Cleaner,5,281.28,1406.3999999999999,10%,17/02/2024,Credit Card
10110,2456,Books,Biography,10,383.23,3832.3,5%,13/04/2024,Credit Card
10111,2462,Books,Comics,5,311.58,1557.8999999999999,5%,2023-07-13,paypal
10112,2727,Home & Kitchen,Cookware,4,119.91,479.64,,04-26-2024,Credit Card
10113,2252,Beauty,Skincare Set,5,5.47,27.349999999999998,10%,2023-12-18,Credit Card
10114,2702,Clothing,Sneakers,4,379.79,1519.16,15%,11-06-2024,PayPal
10115,2296,Electronics,Laptop,6,492.68,2956.08,5%,19/08/2024,PayPal
10116,2725,Beauty,Skincare Set,4,405.91,1623.64,10%,22/08/2023,BANK_TRANSFER
10117,2720,Toys,Doll,2,232.8,465.6,5%,25/12/2024,PayPal
10118,2749,Home & Kitchen,Vacuum Cleaner,9,452.36,4071.2400000000002,10%,27/10/2024,bank transfer
10119,2338,Electronics,Smartphone,2,207.87,415.74,15%,11-02-2023,BANK_TRANSFER
10120,2879,Books,Fiction,9,264.84,2383.56,5%,09/03/2025,BANK_TRANSFER
10121,2053,Clothing,Sneakers,10,241.18,2411.8,10%,05/09/2023,Credit Card
10122,2792,Toys,Board Game,6,226.57,1359.42,10%,2023-04-19,PayPal
10123,2922,Books,Non-Fiction,9,388.72,3498.4800000000005,15%,22/12/2024,Credit Card
10124,2217,Home & Kitchen,Blender,9,265.75,2391.75,10%,08-30-2024,PayPal
10125,2764,Electronics,Laptop,3,161.77,485.31000000000006,5%,10-29-2024,Credit Card
10126,2188,Home & Kitchen,Vacuum Cleaner,1,132.79,132.79,5%,10/06/2024,Credit Card
10127,2380,Electronics,Laptop,1,23.68,23.68,,20/11/2023,Credit Card
10128,2493,Beauty,Perfume,3,293.68,881.04,5%,2023-09-19,bank transfer
10129,2041,Clothing,Jacket,5,118.83,594.15,15%,2023-05-23,paypal
10130,2157,Beauty,Lipstick,3,78.33,234.99,10%,2025-01-12,Credit Card
10131,2015,Beauty,Foundation,9,328.65,2957.85,10%,2024-12-07,credit_card
10132,2813,Home & Kitchen,Cookware,9,342.2,3079.7999999999997,10%,2023-12-25,credit_card
10133,2065,Clothing,Sneakers,3,377.32,1131.96,5%,08-25-2023,credit_card
10134,2857,Electronics,Smartphone,3,254.27,762.8100000000001,15%,2024-08-06,bank transfer
10135,2839,Electronics,Laptop,5,447.56,2237.8,5%,02-23-2025,BANK_TRANSFER
10136,2521,Toys,Board Game,2,468.49,936.98,5%,03-10-2024,Credit Card
10137,2344,Books,Non-Fiction,6,404.65,2427.8999999999996,15%,2024-04-27,credit_card
10138,2129,Toys,Board Game,7,319.62,2237.34,10%,2023-06-27,bank transfer
10139,2648,Toys,Lego,9,155.34,1398.06,10%,2024-05-21,BANK_TRANSFER
10140,2472,Electronics,Laptop,6,491.56,2949.36,0%,2024-12-20,credit_card
10141,2063,Home & Kitchen,Vacuum Cleaner,3,140.7,422.09999999999997,5%,2025-02-23,PayPal
10142,2139,Beauty,Perfume,5,105.32,526.5999999999999,15%,2023-10-11,paypal
10143,2499,Beauty,Skincare Set,4,223.87,895.48,5%,2024-02-21,Credit Card
10144,2593,Beauty,Foundation,5,33.14,165.7,5%,14/02/2024,paypal
10145,2392,Clothing,T-Shirt,8,489.35,3914.8,10%,08-29-2023,paypal
10146,2675,Electronics,Smartphone,8,296.27,2370.16,0%,2023-04-22,PayPal
10147,2419,Home & Kitchen,Microwave,6,280.69,1684.1399999999999,5%,12/05/2024,PayPal
10148,2289,Clothing,Jeans,1,329.62,329.62,10%,2024-01-01,PayPal
10149,2379,Books,Biography,8,251.03,2008.24,0%,11-22-2024,BANK_TRANSFER
10150,2773,Home & Kitchen,Cookware,8,20.87,166.96,5%,08-27-2023,credit_card
10151,2490,Toys,Doll,2,308.09,616.18,15%,04-11-2023,Credit Card
10152,2231,Home & Kitchen,Vacuum Cleaner,4,359.51,1438.04,10%,01-04-2025,PayPal
10153,2041,Home & Kitchen,Blender,2,211.29,422.58,10%,17/09/2024,bank transfer
10154,2028,Beauty,Lipstick,4,379.86,1519.44,10%,11-22-2023,Credit Card
10155,2135,Home & Kitchen,Vacuum Cleaner,10,117.37,1173.7,10%,2024-08-06,Credit Card
10156,2201,Toys,Action Figure,7,114.53,801.71,15%,2025-02-06,Credit Card
10157,2840,Toys,Action Figure,9,84.9,764.1,15%,03-06-2025,PayPal
10158,2780,Electronics,Laptop,8,189.14,1513.12,15%,09/09/2023,PayPal
10159,2930,Home & Kitchen,Vacuum Cleaner,9,424.27,3818.43,0%,2024-12-21,credit_card
10160,2033,Beauty,Perfume,8,414.82,3318.56,10%,04-17-2023,PayPal
10161,2048,Home & Kitchen,Blender,2,194.5,389.0,,28/06/2023,PayPal
10162,2503,Books,Fiction,7,296.61,2076.27,,04-19-2024,Credit Card
10163,2407,Books,Non-Fiction,2,361.8,723.6,5%,04/05/2023,credit_card
10164,2574,Beauty,Foundation,2,124.4,248.8,10%,25/12/2024,paypal
10165,2728,Electronics,Tablet,4,88.23,352.92,15%,12-03-2024,PayPal
10166,2805,Electronics,Laptop,1,486.19,486.19,5%,20/10/2024,bank transfer
10167,2099,Toys,Action Figure,5,310.69,1553.45,15%,10-26-2024,PayPal
10168,2684,Toys,Board Game,6,490.8,2944.8,10%,06-15-2024,paypal
10169,2872,Clothing,Sneakers,9,172.19,1549.71,5%,08-21-2024,Credit Card
10170,2726,Beauty,Skincare Set,10,353.0,3530.0,5%,2023-06-24,credit_card
10171,2987,Home & Kitchen,Cookware,8,115.19,921.52,10%,14/12/2023,Credit Card
10172,2547,Beauty,Lipstick,2,134.29,268.58,5%,12-07-2024,BANK_TRANSFER
10173,2961,Clothing,Jeans,1,258.39,258.39,10%,10/02/2025,PayPal
10174,2739,Toys,Action Figure,2,163.21,326.42,5%,09/02/2025,bank transfer
10175,2613,Beauty,Lipstick,7,87.97,615.79,0%,18/08/2024,BANK_TRANSFER
10176,2943,Beauty,Foundation,4,135.13,540.52,10%,29/10/2023,PayPal
10177,2462,Toys,Doll,10,22.7,227.0,15%,11-11-2024,BANK_TRANSFER
10178,2643,Clothing,Sneakers,5,353.69,1768.45,10%,06-17-2023,paypal
10179,2769,Toys,Action Figure,7,248.6,1740.2,15%,07-06-2023,PayPal
10180,2005,Electronics,Laptop,3,51.65,154.95,,19/02/2024,bank transfer
10181,2218,Home & Kitchen,Vacuum Cleaner,10,89.99,899.9,5%,2023-10-20,PayPal
10182,2503,Toys,Action Figure,2,55.75,111.5,,04-12-2023,BANK_TRANSFER
10183,2767,Clothing,T-Shirt,7,308.23,,5%,03/05/2024,credit_card
10184,2398,Books,Comics,5,51.63,258.15000000000003,5%,2023-04-06,BANK_TRANSFER
10185,2871,Electronics,Headphones,1,378.37,378.37,0%,14/07/2023,PayPal
10186,2795,Books,Fiction,1,15.15,15.15,10%,02-14-2025,PayPal
10187,2393,Toys,Doll,9,128.44,1155.96,10%,29/03/2024,credit_card
10188,2207,Electronics,Tablet,5,445.88,2229.4,5%,08-30-2023,Credit Card
10189,2015,Home & Kitchen,Cookware,1,360.67,360.67,15%,07-18-2024,credit_card
10190,2858,Toys,Board Game,7,41.12,287.84,15%,01/12/2024,Credit Card
10191,2554,Home & Kitchen,Blender,9,411.46,3703.14,10%,10/12/2023,bank transfer
10192,2892,Beauty,Lipstick,1,249.05,249.05,,05/05/2023,PayPal
10193,2461,Books,Non-Fiction,10,424.16,4241.6,15%,07-14-2023,paypal
10194,2691,Electronics,Laptop,4,302.37,1209.48,,30/04/2024,paypal
10195,2575,Home & Kitchen,Microwave,3,342.51,1027.53,5%,2023-04-12,BANK_TRANSFER
10196,2864,Clothing,Jeans,5,496.78,2483.8999999999996,15%,2024-02-21,credit_card
10197,2743,Home & Kitchen,Cookware,7,120.01,840.07,0%,12-14-2024,credit_card
10198,2241,Clothing,Jacket,8,313.85,2510.8,5%,2024-07-14,paypal
10199,2564,Toys,Action Figure,2,232.86,465.72,,2023-06-15,Credit Card
10200,2096,Electronics,Tablet,7,24.53,171.71,10%,2023-11-05,credit_card
10201,2900,Home & Kitchen,Blender,1,12.16,12.16,5%,06-11-2024,Credit Card
10202,2734,Home & Kitchen,Blender,7,64.02,448.14,,2024-11-14,Credit Card
10203,2485,Electronics,Tablet,8,326.3,2610.4,,09/08/2024,Credit Card
10204,2407,Home & Kitchen,Cookware,2,285.75,571.5,10%,2024-06-23,Credit Card
10205,2231,Clothing,Sneakers,9,278.95,2510.5499999999997,10%,2024-02-17,BANK_TRANSFER
10206,2749,Home & Kitchen,Microwave,1,20.77,20.77,15%,27/05/2023,BANK_TRANSFER
10207,2655,Books,Biography,6,237.3,1423.8000000000002,,2025-03-15,paypal
10208,2171,Toys,Lego,1,462.69,462.69,15%,21/07/2023,BANK_TRANSFER
10209,2541,Beauty,Perfume,3,201.81,605.4300000000001,15%,2023-04-05,bank transfer
10210,2036,Clothing,Jacket,6,314.34,1886.04,15%,13/05/2024,credit_card
10211,2525,Books,Fiction,3,391.01,1173.03,10%,01-27-2025,bank transfer
10212,2160,Toys,Action Figure,8,393.04,3144.32,,2024-09-15,BANK_TRANSFER
10213,2839,Electronics,Smartphone,5,262.04,1310.2,5%,25/11/2023,credit_card
10214,2699,Clothing,Jacket,2,429.69,859.38,15%,2025-03-14,credit_card
10215,2243,Beauty,Foundation,4,198.73,794.92,5%,03-22-2024,Credit Card
10216,2086,Toys,Board Game,9,444.9,4004.1,5%,07-20-2024,paypal
10217,2796,Beauty,Skincare Set,4,123.91,,15%,01-06-2024,Credit Card
10218,2578,Electronics,Tablet,10,143.71,1437.1000000000001,,2024-05-16,Credit Card
10219,2682,Electronics,Tablet,10,31.29,312.9,15%,09/04/2024,bank transfer
10220,2557,Clothing,Jacket,8,398.81,3190.48,15%,03-24-2024,BANK_TRANSFER
10221,2574,Home & Kitchen,Vacuum Cleaner,5,211.44,1057.2,10%,2025-01-23,bank transfer
10222,2953,Electronics,Headphones,10,118.41,1184.1,0%,17/04/2023,BANK_TRANSFER
10223,2646,Toys,Doll,1,119.74,119.74,10%,11/08/2024,bank transfer
10224,2796,Home & Kitchen,Blender,7,451.19,3158.33,10%,12-04-2023,credit_card
10225,2028,Books,Non-Fiction,3,417.79,1253.3700000000001,10%,01-05-2024,BANK_TRANSFER
10226,2620,Beauty,Foundation,10,279.0,2790.0,15%,17/04/2024,BANK_TRANSFER
10227,2556,Home & Kitchen,Vacuum Cleaner,8,309.97,2479.76,,05-27-2023,bank transfer
10228,2340,Beauty,Skincare Set,3,239.79,719.37,15%,24/08/2024,PayPal
10229,2798,Home & Kitchen,Blender,1,198.87,198.87,10%,08/10/2024,credit_card
10230,2958,Books,Fiction,5,458.16,2290.8,10%,07-28-2024,credit_card
10231,2331,Electronics,Smartphone,2,67.18,134.36,5%,12-09-2024,PayPal
10232,2640,Books,Comics,4,212.13,848.52,10%,07-27-2024,bank transfer
10233,2506,Electronics,Laptop,1,175.56,175.56,5%,2023-12-22,bank transfer
10234,2348,Electronics,Tablet,9,251.58,2264.2200000000003,15%,2024-10-27,credit_card
10235,2473,Beauty,Skincare Set,6,231.53,1389.18,,2023-09-16,bank transfer
10236,2231,Toys,Doll,8,261.85,2094.8,5%,15/04/2023,paypal
10237,2190,Books,Non-Fiction,4,74.26,297.04,10%,09-15-2023,paypal
10238,2225,Home & Kitchen,Vacuum Cleaner,9,259.01,2331.09,0%,14/01/2024,PayPal
10239,2385,Books,Non-Fiction,2,125.0,250.0,15%,25/10/2024,BANK_TRANSFER
10240,2377,Beauty,Skincare Set,9,96.24,866.16,0%,13/05/2023,paypal
10241,2283,Electronics,Smartphone,5,37.09,185.45000000000002,10%,04-04-2023,bank transfer
10242,2958,Beauty,Skincare Set,6,382.51,2295.06,5%,2024-06-18,PayPal
10243,2633,Clothing,T-Shirt,3,216.58,649.74,,2023-12-17,paypal
10244,2628,Clothing,Sneakers,4,315.19,1260.76,10%,19/12/2024,Credit Card
10245,2973,Home & Kitchen,Cookware,6,365.16,2190.96,15%,2023-07-11,PayPal
10246,2745,Beauty,Foundation,7,341.26,2388.8199999999997,10%,2023-04-05,credit_card
10247,2259,Home & Kitchen,Blender,1,237.9,237.9,5%,11-19-2024,paypal
10248,2359,Home & Kitchen,Cookware,7,197.01,1379.07,0%,08-21-2023,credit_card
10249,2710,Clothing,Jacket,1,191.1,191.1,5%,10-09-2024,PayPal
10250,2456,Home & Kitchen,Microwave,5,321.82,1609.1,0%,2024-04-03,paypal
10251,2411,Clothing,Jeans,6,249.92,1499.52,5%,07-10-2023,credit_card
10252,2649,Electronics,Tablet,2,425.32,850.64,,04/03/2025,BANK_TRANSFER
10253,2318,Beauty,Lipstick,10,437.98,4379.8,5%,09-13-2024,BANK_TRANSFER
10254,2677,Home & Kitchen,Microwave,9,89.43,804.8700000000001,10%,19/02/2024,Credit Card
10255,2225,Clothing,Jeans,10,72.44,724.4,5%,02/06/2023,bank transfer
10256,2819,Books,Biography,6,317.05,1902.3000000000002,15%,2024-10-20,PayPal
10257,2234,Home & Kitchen,Cookware,7,154.11,1078.77,0%,2024-06-15,bank transfer
10258,2684,Toys,Action Figure,10,14.19,141.9,5%,12/11/2023,bank transfer
10259,2664,Electronics,Headphones,8,444.88,3559.04,5%,2024-12-07,credit_card
10260,2975,Electronics,Smartphone,10,117.32,1173.1999999999998,0%,2023-09-15,Credit Card
10261,2827,Books,Biography,1,464.99,464.99,0%,06-20-2023,PayPal
10262,2374,Clothing,Jacket,8,360.13,2881.04,15%,05-04-2024,BANK_TRANSFER
10263,2672,Home & Kitchen,Microwave,4,382.51,1530.04,0%,2024-05-22,bank transfer
10264,2608,Clothing,Jeans,10,104.72,1047.2,5%,07/04/2023,credit_card
10265,2472,Electronics,Headphones,8,120.93,967.44,10%,12/03/2025,bank transfer
10266,2233,Clothing,T-Shirt,6,263.03,1578.1799999999998,10%,07-28-2023,paypal
10267,2692,Electronics,Smartphone,9,90.19,811.71,,23/12/2023,BANK_TRANSFER
10268,2113,Clothing,Jeans,4,156.19,624.76,10%,11/12/2023,bank transfer
10269,2830,Books,Biography,2,164.12,328.24,5%,05-17-2023,paypal
10270,2497,Beauty,Foundation,2,84.02,168.04,,2023-06-18,paypal
10271,2442,Books,Comics,5,106.57,532.8499999999999,10%,18/02/2024,credit_card
10272,2564,Books,Comics,10,395.33,3953.2999999999997,0%,03-08-2025,credit_card
10273,2268,Beauty,Lipstick,9,87.76,789.84,0%,27/11/2024,paypal
10274,2510,Beauty,Skincare Set,3,19.09,57.269999999999996,,20/04/2023,Credit Card
10275,2807,Home & Kitchen,Vacuum Cleaner,8,316.53,2532.24,10%,01-22-2025,bank transfer
10276,2386,Home & Kitchen,Vacuum Cleaner,4,488.11,1952.44,5%,11-11-2024,paypal
10277,2387,Books,Biography,6,168.95,1013.6999999999999,,09-12-2024,paypal
10278,2113,Books,Biography,10,63.73,637.3,10%,12-06-2024,credit_card
10279,2613,Electronics,Tablet,6,287.34,1724.04,5%,01/06/2024,bank transfer
10280,2625,Electronics,Smartphone,3,453.65,1360.9499999999998,15%,2023-12-05,PayPal
10281,2952,Home & Kitchen,Cookware,5,393.11,1965.5500000000002,10%,2023-04-06,BANK_TRANSFER
10282,2081,Toys,Doll,3,313.15,939.4499999999999,,15/11/2024,credit_card
10283,2699,Toys,Lego,1,160.95,160.95,15%,2024-04-18,bank transfer
10284,2113,Home & Kitchen,Blender,7,273.23,1912.6100000000001,10%,09/03/2025,bank transfer
10285,2002,Electronics,Tablet,4,50.17,200.68,10%,10-09-2024,Credit Card
10286,2642,Electronics,Smartphone,7,341.08,2387.56,10%,03-05-2024,BANK_TRANSFER
10287,2220,Toys,Board Game,3,363.92,1091.76,10%,09-28-2024,credit_card
10288,2566,Clothing,Jeans,5,482.69,2413.45,15%,10-06-2024,credit_card
10289,2855,Clothing,T-Shirt,5,133.9,669.5,10%,2024-08-11,PayPal
10290,2997,Electronics,Tablet,2,14.14,28.28,5%,03-13-2024,Credit Card
10291,2736,Clothing,T-Shirt,10,275.08,2750.7999999999997,,2023-11-09,Credit Card
10292,2225,Beauty,Lipstick,2,354.86,709.72,5%,09-16-2024,bank transfer
10293,2385,Home & Kitchen,Vacuum Cleaner,4,396.25,1585.0,10%,2024-01-14,bank transfer
10294,2403,Home & Kitchen,Vacuum Cleaner,4,100.9,403.6,,04-04-2023,credit_card
10295,2638,Electronics,Smartphone,4,134.57,538.28,10%,05-17-2023,PayPal
10296,2130,Books,Fiction,6,258.73,1552.38,,2024-09-30,credit_card
10297,2053,Toys,Action Figure,2,168.65,337.3,15%,01/12/2024,paypal
10298,2684,Electronics,Headphones,6,430.95,,15%,05-09-2024,bank transfer
10299,2730,Clothing,T-Shirt,7,239.51,1676.57,15%,07/01/2024,paypal
10300,2672,Toys,Board Game,10,400.79,4007.9,5%,2024-08-08,PayPal
10301,2710,Books,Biography,3,292.41,877.23,0%,07-29-2024,credit_card
10302,2416,Clothing,Sneakers,8,387.68,3101.44,0%,2025-01-24,bank transfer
10303,2247,Beauty,Foundation,2,169.67,339.34,5%,06/10/2023,PayPal
10304,2836,Clothing,Jacket,8,416.55,3332.4,5%,26/10/2024,credit_card
10305,2439,Beauty,Foundation,5,140.91,704.55,0%,2024-01-14,credit_card
10306,2203,Toys,Lego,2,275.32,550.64,5%,10-30-2024,paypal
10307,2184,Beauty,Foundation,7,110.93,776.51,0%,2025-01-07,BANK_TRANSFER
10308,2123,Toys,Lego,2,240.39,480.78,15%,2023-11-22,Credit Card
10309,2401,Toys,Lego,6,162.5,975.0,5%,12-10-2024,bank transfer
10310,2767,Toys,Doll,10,137.02,1370.2,10%,2023-11-07,Credit Card
10311,2294,Toys,Board Game,3,483.66,1450.98,10%,2024-12-09,PayPal
10312,2280,Toys,Board Game,9,84.24,758.16,5%,2023-09-07,Credit Card
10313,2837,Clothing,Jeans,3,394.73,1184.19,5%,06-08-2024,paypal
10314,2884,Toys,Doll,3,492.16,1476.48,15%,2023-06-19,BANK_TRANSFER
