Transaction_ID,Customer_ID,Region,Product_Category,Product_Name,Quantity,Unit_Price ($),Total_Sales ($),Transaction_Date,Payment_Method
10054,4825,South,Electronics,Tablet,2,426.21,852.42,2023-10-01,PayPal
10055,4613,South,Electronics,Tablet,5,404.71,2023.55,2023-12-02,Bank Transfer
10056,4946,West,Home & Kitchen,Microwave,2,350.94,701.88,2023-05-14,Credit Card
10057,3364,East,Home & Kitchen,Vacuum Cleaner,1,304.21,304.21,2023-07-16,Credit Card
10058,4140,North,Electronics,Headphones,7,310.52,2173.64,2024-05-23,PayPal
10059,3391,West,Toys,Lego,4,184.64,738.56,2023-07-20,PayPal
10060,3479,South,Clothing,Sneakers,5,421.25,2106.25,2023-07-06,Bank Transfer
10061,4557,South,Clothing,Jeans,4,310.8,1243.2,2023-08-02,PayPal
10062,2776,West,Books,Fiction,6,115.65,693.9,2024-06-10,PayPal
10063,2035,South,Beauty,Foundation,2,123.72,247.44,2023-06-10,Bank Transfer
10064,4254,West,Books,Comics,8,431.49,3451.92,2023-12-02,Credit Card
10065,3956,South,Electronics,Laptop,4,314.73,1258.92,2025-01-20,Bank Transfer
10066,3586,West,Electronics,Headphones,8,202.36,1618.88,2023-12-30,Bank Transfer
10067,3022,North,Electronics,Laptop,3,97.61,292.83,2024-09-17,PayPal
10068,4614,North,Beauty,Perfume,5,307.06,1535.3,2024-06-16,PayPal
10069,3130,North,Home & Kitchen,Cookware,3,96.23,288.69,2024-04-27,Credit Card
10070,3501,North,Beauty,Lipstick,7,237.73,1664.11,2023-09-18,PayPal
10071,2703,South,Books,Non-Fiction,3,340.37,1021.11,2023-04-12,Credit Card
10072,4450,East,Home & Kitchen,Microwave,8,284.88,2279.04,2024-06-09,Credit Card
10073,4778,West,Home & Kitchen,Vacuum Cleaner,9,461.44,4152.96,2024-08-13,Credit Card
10074,3580,East,Books,Fiction,2,24.66,49.32,2024-02-18,Bank Transfer
10075,2162,South,Home & Kitchen,Microwave,3,143.5,430.5,2024-12-15,PayPal
10076,2202,South,Clothing,Jacket,7,33.26,232.82,2024-08-22,PayPal
10077,3982,East,Books,Non-Fiction,5,101.33,506.65,2023-04-15,Credit Card
10078,2996,East,Books,Fiction,10,66.37,663.7,2023-09-24,PayPal
10079,4318,South,Clothing,T-Shirt,7,367.67,2573.69,2023-04-07,Credit Card
10080,2816,South,Beauty,Perfume,2,187.84,375.68,2024-04-26,PayPal
10081,2456,West,Beauty,Foundation,4,462.9,1851.6,2023-05-16,Bank Transfer
10082,3276,North,Beauty,Foundation,1,16.57,16.57,2023-05-12,PayPal
10083,3017,North,Home & Kitchen,Vacuum Cleaner,5,328.2,1641.0,2024-12-21,Credit Card
10084,4344,West,Clothing,Jeans,8,485.42,3883.36,2025-03-06,Bank Transfer
10085,4768,East,Books,Comics,1,92.04,92.04,2023-12-23,PayPal
10086,2338,South,Books,Biography,7,224.0,1568.0,2025-02-20,Bank Transfer
10087,2879,East,Books,Non-Fiction,7,352.44,2467.08,2024-11-25,Credit Card
10088,3077,North,Home & Kitchen,Blender,7,318.4,2228.8,2024-06-18,Credit Card
10089,2792,North,Home & Kitchen,Vacuum Cleaner,1,285.18,285.18,2023-12-30,PayPal
10090,4265,East,Toys,Lego,3,166.74,500.22,2023-06-17,Credit Card
10091,2764,North,Beauty,Skincare Set,2,365.46,730.92,2023-05-29,PayPal
10092,4236,South,Toys,Action Figure,5,328.36,1641.8,2023-09-13,Credit Card
10093,2380,West,Toys,Lego,2,85.59,171.18,2024-10-29,Credit Card
10094,2493,East,Home & Kitchen,Blender,5,482.22,2411.1,2024-11-09,Credit Card
10095,3181,South,Beauty,Lipstick,5,280.06,1400.3,2025-02-27,PayPal
10096,4063,South,Beauty,Skincare Set,4,265.1,1060.4,2024-03-22,PayPal
10097,2065,North,Books,Biography,7,424.88,2974.16,2024-07-20,PayPal
10098,4569,South,Home & Kitchen,Vacuum Cleaner,10,322.0,3220.0,2024-10-21,PayPal
10099,3368,East,Beauty,Lipstick,6,41.87,251.22,2024-06-19,Credit Card
10100,3153,South,Toys,Board Game,2,255.76,511.52,2024-08-24,Bank Transfer
10101,4028,West,Clothing,Sneakers,4,391.4,1565.6,2023-12-15,PayPal
10102,4696,South,Clothing,Jeans,7,351.49,2460.43,2023-11-12,Credit Card
10103,3496,South,Home & Kitchen,Cookware,9,485.53,4369.77,2023-11-28,Credit Card
10104,3163,West,Books,Non-Fiction,9,17.33,155.97,2023-04-10,PayPal
10105,3523,South,Books,Fiction,3,134.3,402.9,2024-10-14,PayPal
10106,4641,South,Beauty,Foundation,1,276.83,276.83,2024-01-29,Credit Card
10107,2392,North,Home & Kitchen,Vacuum Cleaner,9,311.65,2804.85,2023-04-05,PayPal
10108,3699,East,Clothing,Jacket,8,140.81,1126.48,2023-05-07,PayPal
10109,2419,North,Toys,Lego,7,414.27,2899.89,2024-06-20,Bank Transfer
10110,4337,East,Beauty,Perfume,6,86.35,518.1,2024-10-20,Bank Transfer
10111,2379,West,Toys,Lego,10,5.42,54.2,2024-05-25,PayPal
10112,3797,West,Beauty,Perfume,7,476.43,3335.01,2023-07-30,Bank Transfer
10113,4279,West,Electronics,Tablet,9,198.82,1789.38,2023-06-10,Bank Transfer
10114,4089,East,Toys,Action Figure,6,478.96,2873.76,2023-07-23,PayPal
10115,4183,East,Home & Kitchen,Microwave,10,142.58,1425.8,2025-02-22,Credit Card
10116,2201,East,Toys,Action Figure,3,36.41,109.23,2024-02-22,Credit Card
10117,3864,West,Toys,Lego,3,387.4,1162.2,2023-09-12,Credit Card
10118,2780,East,Beauty,Skincare Set,4,418.73,1674.92,2024-02-20,Credit Card
10119,4978,South,Clothing,Jacket,10,248.58,2485.8,2024-01-24,Bank Transfer
10120,2503,North,Electronics,Tablet,10,41.56,415.6,2024-01-29,Bank Transfer
10121,4455,West,Toys,Board Game,8,328.8,2630.4,2023-09-05,PayPal
10122,3752,North,Clothing,Jeans,10,95.16,951.6,2024-04-30,PayPal
10123,2805,South,Books,Fiction,9,425.44,3828.96,2024-06-11,Credit Card
10124,4147,East,Electronics,Headphones,8,140.64,1125.12,2024-04-06,Credit Card
10125,4732,North,Electronics,Tablet,10,424.61,4246.1,2024-10-24,PayPal
10126,3896,South,Beauty,Skincare Set,2,216.33,432.66,2025-02-19,PayPal
10127,4774,South,Toys,Board Game,4,300.26,1201.04,2023-12-29,Credit Card
10128,3571,North,Books,Fiction,4,395.83,1583.32,2024-06-02,Bank Transfer
10129,2961,West,Beauty,Perfume,2,25.02,50.04,2023-10-05,Bank Transfer
10130,4661,North,Home & Kitchen,Vacuum Cleaner,8,411.48,3291.84,2023-05-25,Bank Transfer
10131,3486,West,Clothing,T-Shirt,3,73.63,220.89,2023-08-20,Bank Transfer
10132,4691,East,Clothing,Jacket,2,182.42,364.84,2024-02-16,Bank Transfer
10133,3029,West,Beauty,Perfume,7,239.03,1673.21,2024-06-04,PayPal
10134,2503,East,Clothing,Jacket,1,448.24,448.24,2024-09-12,PayPal
10135,4815,North,Toys,Lego,6,16.11,96.66,2023-11-24,Credit Card
10136,2398,East,Clothing,T-Shirt,3,281.81,845.43,2023-08-11,PayPal
10137,2871,South,Toys,Action Figure,3,323.05,969.15,2024-10-04,PayPal
10138,4843,East,Home & Kitchen,Blender,5,161.71,808.55,2024-08-04,PayPal
10139,2393,West,Books,Fiction,3,148.79,446.37,2025-01-20,PayPal
10140,2207,West,Electronics,Laptop,4,247.78,991.12,2023-08-14,Credit Card
10141,3039,West,Beauty,Skincare Set,3,97.61,292.83,2024-09-19,PayPal
10142,3882,East,Beauty,Lipstick,7,236.72,1657.04,2023-04-24,PayPal
10143,4940,West,Toys,Doll,3,383.69,1151.07,2024-11-19,Credit Card
10144,3485,West,Home & Kitchen,Cookware,10,423.47,4234.7,2025-01-31,PayPal
10145,2864,South,Home & Kitchen,Vacuum Cleaner,4,195.65,782.6,2024-06-15,Credit Card
10146,4791,East,Electronics,Laptop,2,310.56,621.12,2023-09-24,Bank Transfer
10147,2564,South,Books,Fiction,2,5.01,10.02,2023-07-19,Bank Transfer
10148,3021,West,Beauty,Perfume,9,277.42,2496.78,2023-11-06,PayPal
10149,2096,West,Toys,Action Figure,1,487.74,487.74,2024-10-01,PayPal
10150,3924,West,Home & Kitchen,Microwave,1,159.57,159.57,2024-03-29,PayPal
10151,3758,East,Beauty,Skincare Set,10,299.41,2994.1,2025-01-18,PayPal
10152,4533,North,Toys,Action Figure,1,382.33,382.33,2023-07-08,Bank Transfer
10153,4279,West,Clothing,Sneakers,3,306.42,919.26,2023-04-30,Bank Transfer
10154,4797,West,Beauty,Perfume,2,212.16,424.32,2025-01-05,PayPal
10155,3679,West,Books,Fiction,3,80.52,241.56,2024-10-02,Credit Card
10156,2541,West,Toys,Action Figure,5,234.53,1172.65,2023-10-04,Credit Card
10157,3060,East,Books,Fiction,9,150.92,1358.28,2024-10-28,Bank Transfer
10158,4573,North,Beauty,Lipstick,2,349.48,698.96,2024-06-26,Credit Card
10159,3184,North,Clothing,Jeans,1,223.75,223.75,2024-12-09,PayPal
10160,3723,North,Books,Biography,6,425.69,2554.14,2024-01-19,PayPal
10161,3820,West,Home & Kitchen,Blender,3,100.69,302.07,2024-11-27,PayPal
10162,4626,West,Toys,Board Game,7,211.77,1482.39,2025-02-27,PayPal
10163,4730,North,Beauty,Lipstick,6,280.96,1685.76,2024-01-31,PayPal
10164,4605,North,Clothing,T-Shirt,7,67.38,471.66,2024-01-19,Credit Card
10165,3598,West,Home & Kitchen,Cookware,5,296.02,1480.1,2023-10-04,Credit Card
10166,4694,West,Beauty,Lipstick,1,149.01,149.01,2025-01-24,Bank Transfer
10167,2796,South,Clothing,Jacket,3,118.62,355.86,2024-06-12,Bank Transfer
10168,3052,South,Home & Kitchen,Blender,3,75.25,225.75,2023-12-19,Credit Card
10169,3644,South,Books,Biography,7,178.19,1247.33,2024-10-07,Credit Card
10170,3364,North,Beauty,Lipstick,3,464.85,1394.55,2024-06-21,Bank Transfer
10171,3982,East,Beauty,Lipstick,5,20.35,101.75,2024-01-24,PayPal
10172,3355,West,Books,Non-Fiction,4,426.82,1707.28,2024-07-28,Bank Transfer
10173,3664,South,Electronics,Headphones,4,201.69,806.76,2024-12-13,Bank Transfer
10174,3530,East,Home & Kitchen,Blender,7,282.99,1980.93,2024-07-02,Credit Card
10175,4039,West,Books,Non-Fiction,1,258.84,258.84,2024-05-13,Bank Transfer
10176,3497,East,Beauty,Skincare Set,7,463.24,3242.68,2024-11-09,Bank Transfer
10177,4238,North,Home & Kitchen,Vacuum Cleaner,8,386.21,3089.68,2025-01-05,Credit Card
10178,3409,North,Home & Kitchen,Microwave,3,492.49,1477.47,2024-07-02,PayPal
10179,3401,North,Electronics,Laptop,3,398.24,1194.72,2023-06-27,PayPal
10180,3307,South,Beauty,Foundation,4,151.46,605.84,2024-04-10,PayPal
10181,4681,West,Clothing,Jeans,6,481.63,2889.78,2023-11-08,Credit Card
10182,4676,North,Electronics,Smartphone,7,491.87,3443.09,2024-12-21,Bank Transfer
10183,2973,South,Electronics,Smartphone,1,65.93,65.93,2023-10-14,PayPal
10184,3769,South,Clothing,Jeans,4,451.02,1804.08,2024-08-23,Bank Transfer
10185,3283,South,Clothing,T-Shirt,7,333.78,2336.46,2024-09-12,Credit Card
10186,2710,South,Electronics,Tablet,2,461.39,922.78,2025-02-21,PayPal
10187,3480,North,Home & Kitchen,Cookware,1,458.29,458.29,2024-09-22,PayPal
10188,3435,South,Books,Fiction,1,446.23,446.23,2024-04-21,Bank Transfer
10189,2649,North,Books,Comics,10,443.21,4432.1,2024-11-07,PayPal
10190,2318,North,Electronics,Laptop,6,63.23,379.38,2023-07-11,Credit Card
10191,3258,South,Home & Kitchen,Blender,5,76.04,380.2,2023-08-20,Bank Transfer
10192,2684,North,Clothing,Sneakers,1,63.3,63.3,2023-08-21,Bank Transfer
10193,2664,West,Toys,Lego,10,50.06,500.6,2024-12-02,PayPal
10194,3999,West,Electronics,Headphones,3,179.88,539.64,2023-10-17,PayPal
10195,3632,East,Beauty,Skincare Set,7,343.56,2404.92,2023-12-05,PayPal
10196,3496,West,Home & Kitchen,Cookware,9,180.57,1625.13,2023-03-22,PayPal
10197,3137,North,Beauty,Lipstick,9,361.55,3253.95,2024-06-14,Bank Transfer
10198,3854,North,Beauty,Skincare Set,6,411.04,2466.24,2023-12-08,Bank Transfer
10199,3521,West,Electronics,Tablet,3,334.78,1004.34,2025-01-03,PayPal
10200,4490,South,Home & Kitchen,Blender,1,235.23,235.23,2023-08-31,Bank Transfer
10201,2564,South,Beauty,Skincare Set,3,151.28,453.84,2024-12-15,Credit Card
10202,3292,North,Home & Kitchen,Vacuum Cleaner,10,66.58,665.8,2023-04-08,Bank Transfer
10203,3637,South,Books,Biography,2,249.36,498.72,2023-12-02,Credit Card
10204,2699,East,Toys,Lego,5,361.2,1806.0,2024-07-22,Credit Card
10205,4161,East,Beauty,Perfume,8,276.38,2211.04,2024-07-14,Credit Card
10206,2002,West,Beauty,Perfume,5,362.13,1810.65,2023-06-02,PayPal
10207,2642,West,Home & Kitchen,Vacuum Cleaner,1,170.93,170.93,2024-05-06,Bank Transfer
10208,4268,South,Toys,Lego,3,38.06,114.18,2024-03-21,Credit Card
10209,3590,North,Books,Fiction,5,386.69,1933.45,2024-12-30,PayPal
10210,2855,West,Beauty,Skincare Set,7,113.76,796.32,2024-01-04,Bank Transfer
10211,3760,East,Electronics,Tablet,5,310.06,1550.3,2023-05-11,Bank Transfer
10212,4433,West,Home & Kitchen,Microwave,10,403.12,4031.2,2024-10-01,PayPal
10213,3662,West,Home & Kitchen,Blender,5,73.86,369.3,2023-10-01,Bank Transfer
10214,3154,East,Beauty,Perfume,7,301.25,2108.75,2024-06-09,PayPal
10215,3077,North,Books,Fiction,8,346.24,2769.92,2024-08-25,PayPal
10216,3708,West,Beauty,Lipstick,8,374.53,2996.24,2023-12-23,PayPal
10217,4778,West,Clothing,T-Shirt,7,78.09,546.63,2023-11-27,Bank Transfer
10218,3696,West,Beauty,Perfume,3,413.43,1240.29,2024-10-28,PayPal
10219,3734,South,Toys,Doll,2,51.6,103.2,2024-06-12,PayPal
10220,3440,West,Toys,Action Figure,1,262.19,262.19,2023-10-13,Bank Transfer
10221,4295,East,Clothing,T-Shirt,6,224.49,1346.94,2024-08-20,Credit Card
10222,2836,North,Toys,Doll,9,114.77,1032.93,2024-12-06,PayPal
10223,2203,North,Toys,Action Figure,3,154.46,463.38,2024-06-07,PayPal
10224,2123,East,Electronics,Smartphone,5,86.4,432.0,2023-10-18,Credit Card
10225,2401,South,Home & Kitchen,Cookware,9,215.73,1941.57,2023-12-02,Bank Transfer
10226,2767,East,Toys,Doll,9,22.58,203.22,2023-08-18,Bank Transfer
10227,2294,North,Home & Kitchen,Cookware,7,445.01,3115.07,2023-06-19,Bank Transfer
10228,4328,East,Books,Fiction,4,85.93,343.72,2024-01-12,PayPal
10229,4932,South,Beauty,Perfume,2,443.58,887.16,2023-06-21,Credit Card
10230,2198,North,Electronics,Laptop,2,432.47,864.94,2024-10-04,Bank Transfer
10231,3931,South,Clothing,Sneakers,4,228.58,914.32,2023-09-07,Credit Card
10232,4800,East,Books,Biography,1,251.37,251.37,2024-01-27,Bank Transfer
10233,4192,West,Electronics,Smartphone,4,154.45,617.8,2024-07-09,PayPal
10234,2609,East,Electronics,Headphones,6,498.45,2990.7,2024-02-15,Bank Transfer
10235,3148,South,Clothing,Jacket,6,337.03,2022.18,2024-04-21,Credit Card
10236,2187,East,Clothing,Sneakers,7,476.15,3333.05,2023-10-31,Credit Card
10237,4512,West,Home & Kitchen,Vacuum Cleaner,5,210.32,1051.6,2023-11-19,Credit Card
10238,3795,South,Beauty,Skincare Set,9,442.09,3978.81,2023-03-20,PayPal
10239,2660,East,Books,Fiction,2,226.88,453.76,2024-06-13,Bank Transfer
10240,4812,South,Beauty,Lipstick,2,434.08,868.16,2025-02-04,PayPal
10241,3956,South,Books,Fiction,4,69.81,279.24,2025-01-08,PayPal
10242,4451,North,Electronics,Smartphone,4,320.24,1280.96,2025-01-27,Credit Card
10243,3370,North,Toys,Action Figure,4,340.96,1363.84,2024-09-15,Credit Card
10244,3987,South,Toys,Lego,1,329.8,329.8,2024-01-23,PayPal
10245,3535,East,Clothing,Sneakers,4,226.28,905.12,2023-12-03,PayPal
10246,2147,East,Clothing,Sneakers,5,343.54,1717.7,2024-04-16,Bank Transfer
10247,4912,East,Electronics,Smartphone,9,123.53,1111.77,2025-02-10,Credit Card
10248,3735,West,Electronics,Tablet,3,299.95,899.85,2023-12-19,Credit Card
10249,3844,South,Books,Biography,3,279.35,838.05,2024-11-23,Credit Card
10250,2489,South,Electronics,Laptop,5,162.58,812.9,2024-03-01,Bank Transfer
10251,4977,West,Books,Comics,10,390.54,3905.4,2025-01-22,Bank Transfer
10252,3960,South,Beauty,Perfume,6,45.03,270.18,2024-07-19,Credit Card
10253,3664,South,Clothing,Jeans,3,89.86,269.58,2023-05-18,Credit Card
10254,4599,West,Clothing,T-Shirt,1,238.22,238.22,2023-11-23,PayPal
10255,4386,North,Toys,Lego,10,446.41,4464.1,2024-06-08,PayPal
10256,4920,South,Toys,Doll,8,289.7,2317.6,2023-12-16,Bank Transfer
10257,2641,West,Clothing,T-Shirt,1,421.82,421.82,2025-01-06,Credit Card
10258,3803,East,Beauty,Skincare Set,2,261.2,522.4,2025-03-01,PayPal
10259,4521,North,Beauty,Lipstick,3,393.8,1181.4,2023-10-16,PayPal
10260,3970,East,Home & Kitchen,Cookware,6,166.27,997.62,2023-11-12,Credit Card
10261,4199,South,Books,Comics,4,408.5,1634.0,2024-06-17,Credit Card
10262,3439,North,Toys,Board Game,4,203.83,815.32,2024-06-03,PayPal
10263,3635,West,Books,Fiction,9,281.62,2534.58,2025-03-12,Credit Card
10264,2263,South,Toys,Lego,6,92.06,552.36,2023-10-04,Credit Card
10265,3788,West,Home & Kitchen,Blender,2,460.61,921.22,2023-07-09,Bank Transfer
10266,4192,North,Clothing,Jeans,7,352.22,2465.54,2024-04-06,PayPal
10267,4394,East,Books,Non-Fiction,3,430.13,1290.39,2024-10-26,PayPal
10268,2624,South,Toys,Board Game,9,107.89,971.01,2024-04-19,Bank Transfer
10269,3017,South,Books,Fiction,6,38.5,231.0,2023-11-11,Bank Transfer
10270,2881,West,Clothing,T-Shirt,8,171.92,1375.36,2023-12-20,PayPal
10271,4050,North,Electronics,Laptop,1,260.76,260.76,2024-10-18,PayPal
10272,4945,West,Toys,Lego,2,402.17,804.34,2023-09-26,Credit Card
10273,3328,North,Electronics,Smartphone,6,201.87,1211.22,2024-01-04,Credit Card
10274,4302,South,Home & Kitchen,Blender,3,138.63,415.89,2023-07-23,PayPal
10275,2453,North,Beauty,Perfume,1,189.41,189.41,2023-04-23,Credit Card
10276,3184,South,Books,Fiction,6,353.29,2119.74,2024-02-26,Credit Card
10277,4057,North,Toys,Lego,5,171.43,857.15,2024-10-07,Credit Card
10278,3683,East,Books,Non-Fiction,9,489.69,4407.21,2025-01-08,Bank Transfer
10279,4864,North,Home & Kitchen,Vacuum Cleaner,6,91.61,549.66,2023-08-02,PayPal
10280,4256,East,Home & Kitchen,Microwave,5,377.78,1888.9,2024-11-11,PayPal
10281,3155,North,Books,Comics,1,296.64,296.64,2023-11-30,PayPal
10282,2404,North,Toys,Doll,1,120.38,120.38,2024-11-21,Credit Card
10283,4200,West,Clothing,Jacket,1,378.04,378.04,2023-03-22,Credit Card
10284,4102,West,Clothing,Jeans,7,226.53,1585.71,2023-04-13,Bank Transfer
10285,3697,South,Beauty,Foundation,6,342.79,2056.74,2025-03-11,Bank Transfer
10286,2628,West,Books,Non-Fiction,5,332.82,1664.1,2024-07-06,PayPal
10287,2587,North,Books,Comics,4,59.77,239.08,2023-11-11,Bank Transfer
10288,3649,West,Toys,Board Game,8,420.79,3366.32,2024-03-08,Bank Transfer
10289,3444,North,Books,Comics,8,342.33,2738.64,2023-09-19,Credit Card
10290,3446,East,Toys,Action Figure,5,391.39,1956.95,2023-08-25,PayPal
10291,2104,North,Books,Biography,4,226.64,906.56,2024-03-23,PayPal
10292,2254,South,Home & Kitchen,Blender,2,101.56,203.12,2023-12-24,Bank Transfer
10293,4558,East,Electronics,Laptop,7,166.48,1165.36,2023-08-27,Credit Card
10294,3497,South,Books,Biography,5,451.23,2256.15,2024-06-18,Bank Transfer
10295,2099,South,Electronics,Smartphone,3,469.32,1407.96,2023-08-19,Bank Transfer
10296,4201,South,Clothing,Jeans,9,243.52,2191.68,2024-08-20,PayPal
10297,3885,West,Beauty,Foundation,9,152.9,1376.1,2023-03-24,Credit Card
10298,4962,South,Clothing,Jeans,10,366.5,3665.0,2023-04-05,Bank Transfer
10299,3920,East,Books,Non-Fiction,8,384.17,3073.36,2024-04-02,Bank Transfer
10300,2878,North,Toys,Lego,1,408.66,408.66,2024-07-02,Credit Card
10301,2338,South,Clothing,T-Shirt,3,20.39,61.17,2023-06-06,Bank Transfer
10302,4870,East,Home & Kitchen,Microwave,2,9.82,19.64,2024-02-26,PayPal
10303,2957,South,Electronics,Tablet,4,181.79,727.16,2024-08-29,Bank Transfer
10304,3705,North,Toys,Lego,2,80.49,160.98,2023-07-05,PayPal
10305,2161,East,Toys,Board Game,8,403.47,3227.76,2024-03-15,PayPal
10306,3604,East,Books,Biography,1,268.76,268.76,2023-12-06,PayPal
10307,4849,North,Home & Kitchen,Blender,4,413.55,1654.2,2023-05-22,PayPal
10308,2398,East,Electronics,Headphones,5,92.57,462.85,2024-03-17,PayPal
10309,3301,North,Home & Kitchen,Microwave,10,315.48,3154.8,2023-04-01,PayPal
10310,2816,East,Clothing,Jacket,4,292.19,1168.76,2024-08-27,Bank Transfer
10311,3528,East,Books,Biography,8,173.49,1387.92,2024-08-13,Credit Card
10312,3920,North,Toys,Action Figure,2,260.96,521.92,2023-12-08,Bank Transfer
10313,3416,North,Toys,Action Figure,9,296.57,2669.13,2023-07-26,Credit Card
10314,3159,East,Clothing,Jeans,2,445.3,890.6,2024-10-08,Bank Transfer
10315,3219,East,Toys,Board Game,2,32.54,65.08,2024-03-25,Credit Card
10316,2401,North,Beauty,Perfume,2,412.57,825.14,2025-01-23,Bank Transfer
10317,2640,West,Books,Non-Fiction,10,490.18,4901.8,2023-07-15,PayPal
10318,4736,North,Clothing,Jeans,8,367.23,2937.84,2024-06-04,Credit Card
10319,2460,East,Books,Biography,3,369.99,1109.97,2024-09-14,Bank Transfer
10320,2955,East,Electronics,Headphones,10,112.9,1129.0,2023-07-19,PayPal
10321,2470,East,Books,Non-Fiction,10,263.92,2639.2,2025-03-11,Bank Transfer
10322,3046,North,Books,Biography,8,354.44,2835.52,2025-02-28,Credit Card
10323,4798,East,Electronics,Smartphone,7,303.13,2121.91,2024-11-18,Bank Transfer
10324,3694,West,Clothing,Sneakers,10,195.64,1956.4,2023-07-27,Bank Transfer
10325,4086,South,Books,Biography,4,470.36,1881.44,2024-09-11,PayPal
10326,4278,West,Home & Kitchen,Microwave,7,259.42,1815.94,2024-10-28,PayPal
10327,2563,North,Books,Biography,8,485.09,3880.72,2023-09-05,PayPal
